발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,cluster_4,c
1632819503893,"30 km W of Sarpol-e Z?ah?b, Iran",reviewed,0,284,earthquake,4.3, Iran,45.5293,34.4735,10.0,2021-09-28 08:58:23.893000+00:00,0,0,red
1624014672829,"234 km S of Sand Point, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-160.2202,53.2406,10.0,2021-06-18 11:11:12.829000+00:00,1,1,blue
1578453085681,"71 km SW of Ovalle, Chile",reviewed,0,284,earthquake,4.3, Chile,-71.7878,-31.0031,35.0,2020-01-08 03:11:25.681000+00:00,0,3,pink
1650529259504,"51 km W of Masachapa, Nicaragua",reviewed,0,272,earthquake,4.2, Nicaragua,-86.9843,11.735,47.7,2022-04-21 08:20:59.504000+00:00,0,3,pink
1675739776365,"15 km NNE of Pazarc?k, Turkey",reviewed,0,326,earthquake,4.6, Turkey,37.3755,37.6089,10.0,2023-02-07 03:16:16.365000+00:00,0,0,red
1616891559458,Tonga region,reviewed,0,369,earthquake,4.9,Tonga region,-174.6928,-23.359,10.0,2021-03-28 00:32:39.458000+00:00,2,2,green
1628707447577,"109 km ESE of Pondaguitan, Philippines",reviewed,0,259,earthquake,4.1, Philippines,127.0762,5.9432,66.79,2021-08-11 18:44:07.577000+00:00,0,3,pink
1629056582913,South Sandwich Islands region,reviewed,0,340,earthquake,4.7,South Sandwich Islands region,-26.0201,-59.5956,16.7,2021-08-15 19:43:02.913000+00:00,0,0,red
1629357643498,South Sandwich Islands region,reviewed,0,284,earthquake,4.3,South Sandwich Islands region,-26.1161,-59.755,35.0,2021-08-19 07:20:43.498000+00:00,0,3,pink
1642572032606,"114 km W of Pariaman, Indonesia",reviewed,0,326,earthquake,4.6, Indonesia,99.0987,-0.7122,35.0,2022-01-19 06:00:32.606000+00:00,0,3,pink
1628833079920,"105 km E of Pondaguitan, Philippines",reviewed,0,312,earthquake,4.5, Philippines,127.1194,6.2007,60.85,2021-08-13 05:37:59.920000+00:00,0,3,pink
1615647732542,"182 km ESE of Atka, Alaska",reviewed,0,222,earthquake,3.8, Alaska,-171.6605,51.7099,35.0,2021-03-13 15:02:12.542000+00:00,1,3,pink
1595100444517,"140 km NE of Hihifo, Tonga",reviewed,0,284,earthquake,4.3, Tonga,-172.7274,-15.2153,16.35,2020-07-18 19:27:24.517000+00:00,0,0,red
1666758124743,southeast of the Loyalty Islands,reviewed,0,298,earthquake,4.4,southeast of the Loyalty Islands,172.727,-22.3698,35.0,2022-10-26 04:22:04.743000+00:00,0,3,pink
1595585349911,"42 km S of Xunchang, China",reviewed,0,298,earthquake,4.4, China,104.6829,28.0763,10.0,2020-07-24 10:09:09.911000+00:00,0,0,red
1655849259790,Puerto Rico region,reviewed,0,228,earthquake,3.85,Puerto Rico region,-65.0935,18.9815,23.0,2022-06-21 22:07:39.790000+00:00,1,1,blue
1606563484781,"105 km SSE of Sand Point, Alaska",reviewed,0,199,earthquake,3.6, Alaska,-159.7323,54.5025,37.32,2020-11-28 11:38:04.781000+00:00,1,1,blue
1609942394309,South Sandwich Islands region,reviewed,0,312,earthquake,4.5,South Sandwich Islands region,-30.4022,-55.024,10.0,2021-01-06 14:13:14.309000+00:00,0,0,red
1685436557264,"58 km ENE of Anamizu, Japan",reviewed,0,326,earthquake,4.6, Japan,137.4734,37.5033,10.0,2023-05-30 08:49:17.264000+00:00,0,0,red
1624768538500,"5 km WSW of La Parguera, Puerto Rico",reviewed,0,153,earthquake,3.15, Puerto Rico,-67.093,17.9455,11.0,2021-06-27 04:35:38.500000+00:00,1,1,blue
1630287643321,southern East Pacific Rise,reviewed,0,326,earthquake,4.6,southern East Pacific Rise,-124.4922,-55.5939,10.0,2021-08-30 01:40:43.321000+00:00,0,0,red
1652015380319,east of the Kuril Islands,reviewed,0,298,earthquake,4.4,east of the Kuril Islands,152.8251,45.9876,10.0,2022-05-08 13:09:40.319000+00:00,0,0,red
1582700317946,"7 km SE of Maria Antonia, Puerto Rico",reviewed,0,168,earthquake,3.3, Puerto Rico,-66.8438,17.9259,15.37,2020-02-26 06:58:37.946000+00:00,1,1,blue
1657923732994,"34 km E of Dera Bugti, Pakistan",reviewed,0,326,earthquake,4.6, Pakistan,69.5091,29.0575,10.0,2022-07-15 22:22:12.994000+00:00,0,0,red
1597922610170,"106 km SW of Butembo, Democratic Republic of the Congo",reviewed,0,326,earthquake,4.6, Democratic Republic of the Congo,28.4953,-0.3979,10.0,2020-08-20 11:23:30.170000+00:00,0,0,red
1614880271506,"Kermadec Islands, New Zealand",reviewed,0,385,earthquake,5.0, New Zealand,-177.6051,-29.7191,10.0,2021-03-04 17:51:11.506000+00:00,2,2,green
1687259666390,"122 km N of Suárez, Puerto Rico",reviewed,0,186,earthquake,3.48, Puerto Rico,-65.7848,19.5316,47.0,2023-06-20 11:14:26.390000+00:00,1,3,pink
